State,How to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requirements,Deadlines,,,
,Online,,,,,,,By mail (intro),,,,By mail (steps),,,By mail (deadline & address),,,,,In person,,,,,,,,,,,Check if you're registered title,Check if you're registered link,,Online,Received by,Mail by,In person
Rhode Island,Register online,You'll need your Rhode Island driver's license or state ID number to register online,[Register online](https://vote.sos.ri.gov/),,,,,1. Get the voter registration form,Download and print the Rhode Island state voter registration form or contact your [local board of canvassers](http://www.elections.state.ri.us/canvassers/index.php) to have one sent to you,[Get the form](http://www.elections.state.ri.us/publications/Election_Publications/Voter_Registration/December_2012_RI_English_VRF.pdf),,2. Fill out the form,"**Step 1** · Check the box indicate if you’re registering for the first time or changing the name, address, or party from your previous registration 

**Step 2** · Check the box to indicate you're a US citizen and are at least 16 years old

**Step 3** · Provide your driver’s license number, state ID card number, or the last 4 digits of your Social Security number, or check the box to indicate that you don't have any of these

- _If you’re registering by mail and don't have any of these numbers, you'll have to show an ID the first time you vote_

**Step 4** · Provide your name

**Step 5** · Provide your home address

**Step 6** · Provide your mailing address (if different from Step 5)

**Step 7** · Provide your birthday

**Step 8** · (Optional) Provide your phone number and email address (optional)

**Step 9** · Check the box to select your political party or to indicate that you aren't a member of a party

**Step 10** · Sign and date the form, and check the box if you're interested in working at a voting place on Election Day, Nov 8

**Step 11** · Provide your previous name, if you're changing it

**Step 12** · Provide your previous address, if you're changing it",,3. Send the form,Your completed form must be postmarked or received by **Oct 9** and mailed to your [local board of canvassers](http://www.elections.state.ri.us/canvassers/index.php) at the address listed on the form,,,,1. Get the voter registration form,Pick up the registration form at your [local board of canvassers](http://www.elections.state.ri.us/canvassers/index.php),,,2. Fill out the form,"**Step 1** · Check the box indicate if you’re registering for the first time or changing the name, address or party from your previous registration 

**Step 2** · Check the box to indicate you're a US citizen and are at least 16 years old

**Step 3** · Provide your driver’s license number, state ID card number, or the last 4 digits of your Social Security number, or check the box to indicate that you don't have any of these

**Step 4** · Provide your name

**Step 5** · Provide your home address

**Step 6** · Provide your mailing address (if different from Step 5)

**Step 7** · Provide your birthday

**Step 8** · Provide your phone number and email address (optional)

**Step 9** · Check the box to select your political party or to indicate that you aren't a member of a party

**Step 10** · Sign and date the form, and check the box if you're interested in working at a voting place on Election Day, Nov 8

**Step 11** · Provide your previous name, if you're changing it

**Step 12** · Provide your previous address, if you're changing it",,3. Return the form,Your completed form must be returned in person by **Oct 9** to your [local board of canvassers](http://www.elections.state.ri.us/canvassers/index.php),,,Check if you're registered to vote,https://sos.ri.gov/vic/,"- Be a US citizen 
- Be at least 16 years old and be at least 18 years old to vote on Election Day, Nov 8 
- Live at your Rhode Island address by Oct 9
- Not be in jail or in prison for a felony
- Not currently judged incompetent by a court",2016-10-09,2016-10-09,,2016-10-09
South Carolina,Register online,"You’ll need your South Carolina driver’s license number or state ID card number to register online

If you’ve moved, you’ll need to [update your address](https://www.scdmvonline.com/dmvpublic/trans/AddrChange.aspx) with the DMV before you can register to vote online",[Register online](https://info.scvotes.sc.gov/eng/ovr/start.aspx),,,,,1. Get the voter registration form,Download and print the South Carolina state voter registration form or contact your [county elections office]( http://www.scvotes.org/how_to_register_absentee_voting) to have one sent to you,[Get the form](http://www.scvotes.org/files/VR_Blank_Form.pdf),,2. Fill out the form,"**Step 1** · Check the boxes to indicate you're a US citizen and will be 18 years old by Election Day, Nov 8

**Step 2** · Check the box to show if you're registering for the first time or changing your previous name or address

**Step 3** · Provide your name

**Steps 4–5** · Provide your gender and race

**Step 6** · Provide your Social Security number

**Step 7** · Provide your street address and check the box to indicate if you live inside city limits

**Step 8** · Check the box if you want to volunteer at a voting place on Election Day, Nov 8

**Step 9** · (Optional) Provide your mailing address

**Steps 10–11** · Provide your birthday and phone number

**Step 12** · If you've registered to vote before, provide the address where you registered previously

**Step 13** · Read the declaration and sign and date the form

**Step 14** · If you're registering to vote in your county for the first time, attach a copy of a valid photo ID or a current utility bill, bank statement, paycheck or other government document that shows your name and address

- _If you don’t submit this with your application, you'll have to show an ID the first time you vote_",,3. Send the form,Your completed form must be postmarked by **Oct 8** and mailed to your [county voter registration office](http://www.scvotes.org/how_to_register_absentee_voting),,,,1. Get the voter registration form,Pick up the registration form at your [county voter registration office](http://www.scvotes.org/how_to_register_absentee_voting),,,2. Fill out the form,"**Step 1** · Check the boxes to indicate you're a US citizen and will be 18 years old by Election Day, Nov 8

**Step 2** · Check the box to show if you're registering for the first time or changing your previous name or address

**Step 3** · Provide your name

**Steps 4–5** · Provide your gender and race

**Step 6** · Provide your Social Security number

**Step 7** · Provide your street address and check the box to indicate if you live inside city limits

**Step 8** · Check the box if you want to volunteer at a voting place on Election Day, Nov 8

**Step 9** · (Optional) Provide your mailing address

**Steps 10–11** · Provide your birthday and phone number

**Step 12** · If you've registered to vote before, provide the address where you registered previously

**Step 13** · Read the declaration and sign and date the form

**Step 14** · If you're registering to vote in your county for the first time, attach a copy of a valid photo ID or a current utility bill, bank statement, paycheck or other government document that shows your name and address.

- _If you don’t submit this with your application, you'll have to show an ID the first time you vote_",,3. Return the form,Your completed form must be returned in person by **Oct 8** to your [county voter registration office](http://www.scvotes.org/how_to_register_absentee_voting),,,Check if you're registered to vote,https://info.scvotes.sc.gov/eng/voterinquiry/VoterInformationRequest.aspx?PageMode=VoterInfo,"- Be a US citizen 
- Be at least 18 years old on Election Day, Nov 8
- Live at a South Carolina address
- Not be in jail or in prison for a felony
- Not currently judged incompetent by a court
- Not be serving any part of a sentence for violating an election law",2016-10-08,,2016-10-08,2016-10-08
South Dakota,,,,,,,,1. Get the voter registration form,Download and print the South Dakota state voter registration form,[Get the form](https://sdsos.gov/elections-voting/assets/FinalVoterRegistrationForm11.16.12.pdf),,2. Fill out the form,"**Step 1** · Provide your name and check the boxes to indicate you're a US citizen and will be at least 18 years old by Election Day, Nov 8

**Steps 2–3a** · Provide your home address and your mailing address (if different from your home address). If your home address is a PO Box, rural box, or general delivery, provide a further description of your location.

**Step 4** · Provide your birthday

**Step 5** · Provide your phone number

**Step 6** · Provide your South Dakota driver’s license number. If you don't have a driver’s license, provide the last 4 digits of your Social Security number

**Steps 7–8** · Provide your political party affiliation and email address 

**Steps 9–11** · If you're reporting a change in name, address or driver’s license number, provide your previous information 

**Step 12** · Sign and date form",,3. Send the form,Your completed form must be received at your [county auditor’s office](https://sdsos.gov/contact-us/county-auditors.aspx) by **Oct 24**,,,,1. Get the voter registration form,Pick up the form at your [county auditor’s office](https://sdsos.gov/contact-us/county-auditors.aspx) or [municipal finance office](https://sdsos.gov/contact-us/municipal-finance-officers.aspx),,,2. Fill out the form,"**Step 1** · Provide your name and check the boxes to indicate you're a US citizen and will be at least 18 years old by Election Day, Nov 8

**Steps 2–3a** · Provide your home address and your mailing address (if different from your home address). If your home address is a PO Box, rural box, or general delivery, provide a further description of your location.

**Step 4** · Provide your birthday

**Step 5** · Provide your phone number

**Step 6** · Provide your South Dakota driver’s license number. If you don't have a driver’s license, provide the last 4 digits of your Social Security number.

**Steps 7–8** · Provide your political party affiliation and email address 

**Steps 9–11** · If you're reporting a change in name, address or driver’s license number, provide your previous information 

**Step 12** · Sign and date form",,3. Return the form,Drop off your completed form by **Oct 24** at the county auditor or other government office where you picked up the form,,,Check if you're registered to vote,https://sos.sd.gov/Elections/VIPLogin.aspx,"- Be a US citizen
- Live at a South Dakota address 
- Be at least 18 years old by Election Day, Nov 8
- Not be currently serving any part of a sentence for a felony conviction 
- Not be currently judged by a court as mentally incompetent",,2016-10-24,,2016-10-24
Tennessee,,,,,,,,1. Get the voter registration form,Download and print the Tennessee registration form or call [(877) 850-4959](tel:877-850-4959) to request one by mail,[Get the form](http://sos-tn-gov-files.s3.amazonaws.com/forms/ss-3010.pdf),,2. Fill out the form,"**Step 1** · Check the boxes to indicate you're a US citizen and will be 18 by Election Day, Nov 8

**Step 2** · Provide your name 

**Steps 3–4** · Provide your gender and race (race is optional)

**Step 5** · Provide your address 

**Step 6** · Provide your mailing address, if different from Step 5

**Step 7** · (Optional) Provide your email address

**Step 8** · Provide your birthday, place of birth, and Social Security number 

**Step 9** · Provide your phone number

**Step 10** · If you're changing your name or address, provide your previous information

**Step 11** · Check the appropriate lines to declare if you're a resident of Tennessee and have previously been convicted of a felony 

**Step 12** · Date and sign the form",,3. Send the form,Mail your completed form by **Oct 11** to your [county election office](http://tnsos.org/elections/election_commissions.php),,,,1. Get the voter registration form,Pick up the form at your [county election office](http://tnsos.org/elections/election_commissions.php),,,2. Fill out the form,"**Step 1** · Check the boxes to indicate you're a US citizen and will be 18 by Election Day, Nov 8

**Step 2** · Provide your name 

**Steps 3–4** · Provide your gender and race (race is optional)

**Step 5** · Provide your address 

**Step 6** · Provide your mailing address, if different from Step 5

**Step 7** · (Optional) Provide your email address

**Step 8** · Provide your birthday, place of birth, and Social Security number 

**Step 9** · Provide your phone number

**Step 10** · If you're changing your name or address, provide your previous information

**Step 11** · Check the appropriate lines to declare if you're a resident of Tennessee and have previously been convicted of a felony 

**Step 12** · Date and sign the form",,3. Return the form,Turn in the form by **Oct 11** to your [county election office](http://tnsos.org/elections/election_commissions.php),,,Check if you're registered to vote,https://tnmap.tn.gov/voterlookup/,"- Be a US citizen
- Live at a Tennessee address 
- Be 18 years old by Election Day, Nov 8
- Not be convicted of a felony and currently serving your sentence
- If previously convicted of a felony, have had your voting rights restored
- Not currently be judged incompetent by a court",,,2016-10-11,2016-10-11
Texas,,,,,,,,1. Get the voter registration form,"Complete the form online, or [submit a request](https://webservices.sos.state.tx.us/vrrequest/index.asp) to have one sent to you",[Get the form](https://webservices.sos.state.tx.us/vrapp/index.asp),,2. Fill out the form,"**Step 1** · Respond Yes or No to whether you're a citizen

**Step 2** · Indicate whether you're filling out a new application, changing your address or name, or requesting a replacement voter registration card

**Step 3** · Provide your name, date of birth, and your Texas Driver’s License or ID card number. If you don't have one, provide the last 4 digits of your Social Security number.

- _If you don't have any of these, check the appropriate box_

**Step 4** · (Optional) Provide your phone number and gender

**Step 5** · Provide your address

**Step 6** · Provide your mailing address, if different from Step 5

**Step 7** · Print the form if you're using the online application

**Step 8** · Sign and date the form",,3. Send the form,Mail the form by **Oct 11** to your [county voter registrar’s office](http://www.sos.state.tx.us/elections/voter/votregduties.shtml),,,,1. Get the voter registration form,"Voter registration forms are available at your [county voter registrar’s office](http://www.sos.state.tx.us/elections/voter/votregduties.shtml) or at other locations such as libraries, government offices, or high schools",,,2. Fill out the form,"**Step 1** · Respond Yes or No to whether you're a citizen

**Step 2** · Indicate whether you're filling out a new application, changing your address or name, or requesting a replacement voter registration card

**Step 3** · Provide your name, date of birth, and your Texas Driver’s License or ID card number. If you don't have one, provide the last 4 digits of your Social Security number.

- _If you don't have any of these, check the appropriate box_

**Step 4** · (Optional) Provide your phone number and gender

**Step 5** · Provide your address

**Step 6** · Provide your mailing address, if different from Step 5

**Step 7** · Sign and date the form",,3. Return the form,Return the form by **Oct 11** to your [county voter registrar’s office](http://www.sos.state.tx.us/elections/voter/votregduties.shtml),,,Check if you're registered to vote,https://teamrv-mvp.sos.texas.gov/MVP/mvp.do,"- Be a US citizen
- Be at least 17 years and 10 months to register, and be 18 by Election Day, Nov 8, to vote 
- Live at a Texas address
- Not serving a sentence (including probation or parole) for a felony conviction
- Not currently judged incompetent by a court",,,2016-10-11,2016-10-11
Utah,Register online,"You'll need your Utah driver’s license number or state ID card number to register online

The street address you list on the voter registration form must be the same as the address on your driver’s license or ID to register online",[Register online](https://secure.utah.gov/voterreg/index.html),,,,,1. Get the voter registration form,Download and print the Utah state voter registration form or call [(801) 983-0275](tel:(801) 983-0275) to have one sent to you,[Get the form](https://elections.utah.gov/Media/Default/Forms/Utah%20Voter%20Registration%20Form.pdf),,2. Fill out the form,"**Step 1** · Check the box to indicate if you’re registering for the first time or changing information such as your name, address, or party 

**Step 2** · Check the boxes to indicate if you're a US citizen and will be 18 years old on Election Day, Nov 8

**Step 3** · Provide your name

**Step 4** · Provide the name at birth, if different from Step 3  

**Step 5** · If you weren't born in the US, provide your place and date of naturalization 

**Step 6** · Provide your address

**Step 7** · Provide your mailing address, if different from Step 6

**Step 8** · (Optional) Provide your phone number 

**Step 9** · Provide your birthday

**Step 10** · Provide the state or county where you were born

**Step 11** · Provide the last 4 digits of your Social Security number

**Step 12** · (Optional) Check the box to indicate your political party 

**Step 13** · (Optional) Provide your email address  

**Step 14** · If you're changing your name or address, provide your previous name or address

**Step 15** · Sign and date the form",,3. Send the form,Your completed form must be mailed by **Oct 9** to your [county clerk’s office](https://elections.utah.gov/election-resources/county-clerks),,,,1. Get the voter registration form,Pick up the registration form at your [county clerk’s office](https://elections.utah.gov/election-resources/county-clerks),,,2. Fill out the form,"**Step 1** · Check the box to indicate if you’re registering for the first time or changing information such as your name, address, or party 

**Step 2** · Check the boxes to indicate if you're a US citizen and will be 18 years old on Election Day, Nov 8

**Step 3** · Provide your name

**Step 4** · Provide the name at birth, if different from Step 3  

**Step 5** · If you weren't born in the US, provide your place and date of naturalization 

**Step 6** · Provide your address

**Step 7** · Provide your mailing address, if different from Step 6

**Step 8** · (Optional) Provide your phone number 

**Step 9** · Provide your birthday

**Step 10** · Provide the state or county where you were born

**Step 11** · Provide the last 4 digits of your Social Security number

**Step 12** · (Optional) Check the box to indicate your political party 

**Step 13** · (Optional) Provide your email address  

**Step 14** · If you're changing your name or address, provide your previous name or address

**Step 15** · Sign and date the form",,3. Return the form,Your completed form must be returned in person by **Nov 1** to your [county clerk’s office](https://elections.utah.gov/election-resources/county-clerks),,,Check if you're registered to vote,https://vote.utah.gov/vote/menu/index,"- Be a US citizen 
- Be at least 18 years old on Election Day, Nov 8
- Live at a Utah address by Oct 9
- Not be in jail or in prison for a felony conviction",2016-11-01,,2016-10-09,2016-11-01
Vermont,Register online,"You'll need either a Vermont driver’s license, permit or DMV-issued personal ID number; or the last 4 digits of your Social Security number to register online",[Register online](https://olvr.sec.state.vt.us/),,,,,1. Get the voter registration form,Download and print the Vermont Voter Registration Form or call [1-800-439-8683](tel:1-800-439-8683) (inside Vermont) or [1-802-828-2464](tel:1-802-828-2464) (outside Vermont) to request one by mail,[Get the form](https://www.sec.state.vt.us/media/33935/VTVoterApp.pdf),,2. Fill out the form,"**Step 1** · Provide your full name and town or city name 

**Step 2** · Indicate whether you're a US citizen; will be at least 18 years old on Election Day, Nov 8; and are a Vermont resident

**Step 3** · Provide your date of birth and birth location

**Step 4** · Provide your residential address

**Step 5** · (if applicable) Provide your mailing address (if different)

**Step 6** · Provide your email (optional)

**Step 7** · (if applicable) Provide the address and/or name where you were previously registered

**Step 8** · Provide your Vermont driver’s license number or DMV-issued ID number. If you don't have either of these numbers, provide the last 4 digits of your Social Security number.

**Step 9** · Take the voter oath

**Step 10** · Sign and date the form

**Step 11** · If this is your first time registering to vote in Vermont, provide a copy of one of the following:

- _Current  photo ID_

- _Current utility bill_

- _Bank statement_

- _Other government document with your name and address_",,3. Send the form,Your completed form must be postmarked by **Nov 2**.  You must mail the form to your [Town or City Clerk’s Office](https://www.sec.state.vt.us/media/686155/townclerkguide.pdf).,,,,1. Get the voter registration form,Get the form in person at your [Town or City Clerk’s Office](https://www.sec.state.vt.us/media/686155/townclerkguide.pdf),,,2. Fill out the form,"**Step 1** · Provide your full name and town or city name

**Step 2** · Indicate whether you're a US citizen; will be at least 18 years old on Election Day; and are a Vermont resident

**Step 3** · Provide your date of birth and birth location

**Step 4** · Provide your residential address

**Step 5** · (If applicable) Provide your mailing address (if different)

**Step 6** · Provide your email (optional)

**Step 7** · (If applicable) Provide the address and/or name where you were previously registered

**Step 8** · Provide your Vermont driver’s license number or DMV-issued ID number. If you don't have either of these numbers, provide the last 4 digits of your Social Security number.

**Step 9** · Take the voter oath

**Step 10** · Sign and date the form",,3. Return the form,Return the form to your [Town or City Clerk’s Office](https://www.sec.state.vt.us/media/686155/townclerkguide.pdf) by **Nov 2**,,,Check if you're registered to vote,https://mvp.sec.state.vt.us/,"- Be a US citizen
- Be 18 years old by Election Day, Nov 8
- Be a Vermont resident and a resident of the town where you're applying to vote
- Take the Voter’s Oath",2016-11-02,,2016-11-02,2016-11-02
Virginia,Register online,"You'll need a Virginia driver’s license or special ID card, and a Social Security number to register online.  ",[Register online](https://vote.elections.virginia.gov/Registration/Eligibility),,,,,1. Get the voter registration form,Download and print the Virginia voter registration form or call [1-800-552-9745](tel:1-800-552-9745) to request one by mail,[Get the form](http://elections.virginia.gov/Files/Forms/VoterForms/VoterRegistrationApplication.pdf),,2. Fill out the form,"**Step 1** · Respond Yes or No to whether you're a citizen and whether you'll be 18 by Election Day, Nov 8 

**Step 2–3** · Provide your name, address, date of birth, gender, Social Security number, phone number, and email address

**Step 4–5** · Respond Yes or No to whether you've ever been convicted of a felony or whether you've ever been judged mentally incapacitated. If Yes, respond Yes or No to whether and when your rights have been restored.

**Step 6** · Sign and date the form

**Step 7** · If you're currently registered to vote elsewhere, provide your previous registration information

**Step 8** · (If necessary) If this is your first time registering to vote in Virginia, you must provide one of the following: current photo ID, current utility bill, bank statement, government check, paycheck, or other government document",,3. Send the form,"Your completed form must be postmarked by **Oct 17** to this address:

Department of Elections
1100 Bank Street, First Floor 
Richmond, VA 23219

For faster processing, mail your form to your local [Voter Registration Office](https://vote.elections.virginia.gov/VoterInformation/PublicContactLookup)",,,,1. Get the voter registration form,Get the form in person at your local [Voter Registration Office](https://vote.elections.virginia.gov/VoterInformation/PublicContactLookup) or at other locations such as the Department of Motor Vehicles and Armed Forces recruitment offices.,,,2. Fill out the form,"**Step 1** · Respond Yes or No to whether you're a citizen and whether you'll be 18 by Election Day, Nov 8

**Steps 2–3** · Provide your name, address, date of birth, gender, Social Security number, phone number, and email address

**Steps 4–5** · Respond Yes or No to whether you've ever been convicted of a felony or whether you've ever been judged mentally incapacitated. If Yes, respond Yes or No to whether and when your rights have been restored.

**Step 6** · Sign and date the form

**Step 7** · If you're currently registered to vote elsewhere, provide your previous registration information",,3. Return the form,Register by the close of business on **Oct 17**.  Your local [Voter Registration Office](https://vote.elections.virginia.gov/VoterInformation/PublicContactLookup) can tell you the exact closing time in each county.,,,Check if you're registered to vote,https://vote.elections.virginia.gov/VoterInformation,"- Be a US citizen
- Be 18 years old by Election Day, Nov 8
- Live at an address in Virginia
- If convicted of a felony, not be in jail, on probation, or on parole; and have had your right to vote restored by the state
- Not currently judged incompetent by a court
- Not claim the right to vote in another state",2016-10-17,,2016-10-17,2016-10-17
Washington,Register online,You'll need a current Washington State driver’s license or current Washington State ID card to register online,[Register online](http://www.sos.wa.gov/elections/myvote/olvr.html),,,,,1. Get the voter registration form,"Download and print the Washington State Voter Registration Form, request one by mail by filling out [this form](https://www.sos.wa.gov/elections/register-mail.aspx) online, or call [(360) 902-4180](tel:360-902-4180) to have one sent to you",[Get the form](http://www.sos.wa.gov/elections/Print-Voter-Registration-Forms.aspx),,2. Fill out the form,"**Step 1** · Provide your name, date of birth, gender, residential address, mailing address (if different), phone number (optional), and email address (optional)  

**Step 2** · Indicate whether you're a US citizen and whether you'll be 18 by Election Day, Nov 8

**Step 3** · Indicate whether you currently serve in the military and whether you live outside the US

**Step 4** · Provide your Washington State driver’s license, permit, or ID number. If you don't have any of these numbers, provide the last 4 digits of your Social Security number.  

**Step 5** · (if applicable) Update your name and address, if previously registered

**Step 6** · Sign and date the form

**Step 7** · (if applicable) If you don't provide a license, permit, ID number, or Social Security number, you'll need to provide one of the following documents with your registration or when you vote:

- _Photo ID_

- _Tribal ID of a federally recognized Indian tribe in Washington State_

- _Current utility bill_

- _Current bank statement_

- _Current government check_

- _Current paycheck_

- _Government document that shows both your name and address_",,3. Send the form,"Your completed form must be mailed by **Oct 8** to this address:

Washington State Elections Division
PO Box 40229
Olympia, WA 98504-0229

For faster processing, mail it to your [County Elections Office](http://www.sos.wa.gov/elections/viewauditors.aspx)",,,,1. Get the voter registration form,Get the form in person at your [County Election Office](http://www.sos.wa.gov/elections/auditors.aspx) or locations such as the Department of Motor Vehicles and other state agencies,,,2. Fill out the form,"**Step 1** · Provide your name, date of birth, gender, residential address, mailing address (if different), phone number (optional), and email address (optional)

**Step 2** · Indicate whether you're a US citizen and whether you'll be 18 by Election Day, Nov 8

**Step 3** · Indicate whether you currently serve in the military and whether you live outside the US 

**Step 4** · Provide your Washington State driver’s license, permit, or ID number. If you don't have any of these numbers, provide the last 4 digits of your Social Security number.

**Step 5** · (If applicable) Update your name and address, if previously registered

**Step 6** · Sign and date the form",,3. Return the form,Register by the close of business on **Oct 31**. You can find out the exact closing time from your [County Election Office](http://www.sos.wa.gov/elections/auditors.aspx).,,,Check if you're registered to vote,https://weiapplets.sos.wa.gov/MyVote/#/login,"- Be a US citizen
- Be 18 years old by Election Day, Nov 8
- Live at a Washington address by Oct 9
- If convicted of a felony, not be in jail or community custody
- Not currently judged incompetent by a court
- Not claim the right to vote in another state",2016-10-10,,2016-10-08,2016-10-31
West Virginia,Register online,"You'll need a West Virginia driver’s license or ID card number, and the last 4 digits of your Social Security number to register online.",[Register online](https://ovr.sos.wv.gov/Register#Qualifications),,,,,1. Get the voter registration form,Download and print the West Virginia Voter Registration Form or call [(866) 767-8683](tel:866-767-8683) to request one by mail,[Get the form](http://www.sos.wv.gov/elections/forms/Documents/Forms%20-%20Voter/mail%20in%20voter%20registration%20application.pdf),,2. Fill out the form,"Indicate whether  you're a US citizen and whether you'll be 18 by Nov 8

**Step 1** · (Optional) Indicate whether this is a new registration; whether you're switching parties; and whether you're completing a name or address change 

**Steps 2–3** · Enter your name and date of birth

**Step 4** · Provide your West Virginia driver’s license or ID card number or the last 4 digits of your Social Security number

**Steps 5** · Provide your residential address and mailing address (if different)

**Step 6–7** · (Optional) Provide your email address and gender 

**Step 8** · (If applicable) Provide the name and address where you last registered to vote

**Step 9** · (Optional) Provide your telephone number

**Step 10** · (Optional) Choose your political party

**Step 11** · (Optional) Check if you would like to be a poll worker

**Step 12** · Sign and date the form

**Step 13** · (If applicable) If you're registering for the first time in West Virginia, or if you have not voted in a federal election in West Virginia and are registering in the county for the first time, provide one of the following with your registration or when you vote:

- _Current photo ID_

- _Utility bill_

- _Bank statement_

- _Government check_

- _Paycheck_

- _Government document showing your name and current residence address_",,3. Send the form,Your completed form must be mailed by **Oct 18** to your [County Clerk’s Office](http://www.sos.wv.gov/elections/VoterRegistration/Pages/ClerkDirectory.aspx),,,,1. Get the voter registration form,Get the form in person at your [County Clerk’s Office](http://www.sos.wv.gov/elections/VoterRegistration/Pages/ClerkDirectory.aspx) or at other locations such as the Department of Motor Vehicles and Armed Services recruitment offices,,,2. Fill out the form,"Indicate whether you're a US citizen and whether you'll be 18 by Nov 8

**Step 1** · (Optional) Indicate whether this is a new registration; whether you're switching parties; and whether you're completing a name or address change 

**Steps 2–3** · Enter your name and date of birth

**Step 4** · Provide your West Virginia driver’s license or ID card number, or the last 4 digits of your Social Security number

**Steps 5** · Provide your residential address and mailing address (if different)

**Step 6–7** · (Optional) Provide your email address and gender 

**Step 8** · (If applicable) Provide the name and address where you last registered to vote

**Step 9** · (Optional) Provide your telephone number

**Step 10** · (Optional) Choose your political party

**Step 11** · (Optional) Check if you would like to be a poll worker

**Step 12** · Sign and date the form   

**Step 13** · (If applicable) If you're registering for the first time in West Virginia, or if you have not voted in a federal election in West Virginia and are registering in the county for the first time, provide one of the following with your registration or when you vote:

- _Current photo ID_

- _Utility bill_

- _Bank statement_

- _Government check_

- _Paycheck_

- _Government document showing your name and current residence address_",,3. Return the form,Register by the close of business on **Oct 18**. You can find out the exact closing time from your [County Clerk’s Office](http://www.sos.wv.gov/elections/VoterRegistration/Pages/ClerkDirectory.aspx).,,,Check if you're registered to vote,https://services.sos.wv.gov/Elections/Voter/AmIRegisteredToVote,"- Be a US citizen
- Be 18 years old by Election Day, Nov 8
- Live in the county or city where you register in West Virginia
- If convicted of a felony, treason, or bribery in an election, you can’t be in jail, on probation, or on parole
- Not currently judged incompetent by a court
- Not claim the right to vote in another state",2016-10-18,,2016-10-18,2016-10-18
